Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007]
Saudi Arabia,SAU,SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,..,..,..,..,..,..,..,..,..,..,..,2558,..,2321.8,..
Senegal,SEN,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,..,..,5650,5360,5490,5370,4860,4910,5010,4760,5080,4970,4650,4620,4350
Senegal,SEN,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,..,..,..,..,..,2962.70547485352,2496.27426147461,1649.88095092773,1091.41351318359,947.733978271481,749.871185302731,749.319061279301,719.003997802731,742.878875732422,439.02398681641
Senegal,SEN,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,..,..,..,..,..,..,..,..,..,..,..,0,..,0,..
Senegal,SEN,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,..,..,11270.0004577637,10869.9998855591,10850.0003814697,10609.9996566772,10000,9850.00038146973,9850.00038146973,9579.99992370605,9729.99954223633,9510.00022888184,9170.00007629395,8989.99977111816,8609.99965667725
Senegal,SEN,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,..,..,29229.9995422363,27969.9993133545,27579.9999237061,27409.9998474121,25299.9992370605,24379.9991607666,23799.9992370605,22610.0006103516,23090.0001525879,22100.0003814697,21030.0006866455,20530.0006866455,19590.0001525879
Senegal,SEN,SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,..,..,..,..,..,..,..,..,..,..,..,0,..,0,..
Serbia,SRB,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,..,..,3950,3480,3950,4260,3910,4140,4890,4880,4380,4260,5070,4470,4980
Serbia,SRB,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Serbia,SRB,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,..,..,..,..,..,..,..,..,..,..,..,7204,..,5979,..
Serbia,SRB,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,..,..,11539.999961853,11439.9995803833,11479.9995422363,11449.9998092651,11520.0004577637,11390.0003433228,11109.9996566772,11050.0001907349,10939.9995803833,10850.0003814697,10970.0002670288,11140.0003433228,11279.9997329712
Serbia,SRB,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,..,..,61930.0003051758,61590.0001525879,63349.9984741211,62959.9990844727,61500,55180.0003051758,63189.998626709,62459.9990844727,67309.9975585938,62990.0016784668,63459.9990844727,65919.9981689453,68139.9993896484
Serbia,SRB,SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,..,..,..,..,..,..,..,..,..,..,..,0,..,0,..
Seychelles,SYC,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,..,..,0,0,0,0,0,0,0,0,0,0,0,10,10
Seychelles,SYC,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,..,..,..,..,..,80.307403221726,53.582063391805,7.74126026034401,-32.98200891912,-2.01346389949299,-51.626208364964,10.208420753479,105.189209878445,297.276524305344,249.68062287569
Seychelles,SYC,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Seychelles,SYC,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,..,..,90.0000035762787,90.0000035762787,90.0000035762787,90.0000035762787,90.0000035762787,90.0000035762787,90.0000035762787,90.0000035762787,79.9999982118607,79.9999982118607,79.9999982118607,79.9999982118607,79.9999982118607
Seychelles,SYC,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,..,..,779.999971389771,740.000009536743,730.000019073486,720.000028610229,649.999976158142,600.000023841858,540.000021457672,550.000011920929,529.999971389771,560.000002384186,560.000002384186,519.999980926514,509.999990463257
Seychelles,SYC,SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sierra Leone,SLE,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,..,..,1300,1320,1510,1610,1700,1580,1460,1570,1180,1020,1240,1120,1580
Sierra Leone,SLE,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,..,..,..,..,..,-182.33166503906,-180.10189819336,56.4219894409198,-16.9747772216797,-212.89189910889,-314.63079833984,-469.963104248051,-412.36530303955,-451.97721099854,-418.739395141602
Sierra Leone,SLE,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sierra Leone,SLE,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,..,..,3710.00003814697,4010.00022888184,4130.00011444092,4210.00003814697,4050.00019073486,4139.9998664856,3890.00010490417,4019.99998092651,3440.00005722046,3160.00008583069,3240.00000953674,3029.99997138977,3329.99992370605
Sierra Leone,SLE,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,..,..,6079.99992370605,6340.00015258789,6730.00001907349,6889.9998664856,6780.00020980835,6969.99979019165,6489.99977111816,6530.00020980835,5420.00007629395,4800.00019073486,5050.00019073486,4719.99979019165,5460.00003814697
Sierra Leone,SLE,SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Singapore,SGP,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,..,..,9940,9550,9180,8780,8390,8060,7740,7420,7110,6750,6990,7250,7490
